tehc_st_fips,state_abbreviation,eligible_weight_sum,procedural_friction,renewal_intensity,pending_pressure,procedural_friction_tertile,renewal_intensity_tertile,pending_pressure_tertile
1,AL,5405755.0950801,0.8723459618334634,105967.61810403,0.0006675775262753104,high,mid,low
2,AK,869184.3844917999,0.4420070012427126,13880.391555895229,0.2514204577754102,low,low,high
4,AZ,6287029.9134467,0.6663164681424191,203603.73764667733,0.0012390108519343746,mid,high,low
5,AR,2559257.1372814,0.781117177571847,62277.74674054983,0.014754754416339798,high,mid,mid
6,CA,43507790.6610327,0.7179176601857249,1011851.8841048919,0.1978778960587549,mid,high,high
8,CO,3457111.1131892,0.6408548351319934,141603.60796724088,0.0060484885939099415,mid,mid,low
9,CT,3578327.3710234,0.6065826685337063,98414.7602622211,0.04186781928501955,low,mid,mid
10,DE,1308138.5232580001,0.5145000515299579,23349.092396397595,0.09371129847212437,low,low,mid
11,DC,261014.3396781,0.8847980095248509,29961.75870142549,0.10211679397095384,high,low,high
12,FL,15805917.091210902,0.6991758989954057,353658.0347954226,2.9647616008843113e-05,mid,high,low
13,GA,7618931.937831601,0.7299682649525792,164473.93270000047,0.03383138538938262,mid,high,mid
15,HI,763678.2900496,0.21259308749213535,25877.300416245005,0.0496035874108835,low,low,mid
16,ID,901118.3489087999,0.5920016137157781,24414.13087612444,0.0,low,low,low
17,IL,10093561.459299698,0.702961071999981,296619.20284824166,0.05387314468636616,mid,high,mid
18,IN,4619716.8275395,0.7783857745264504,141827.99969046708,0.09681534266747104,high,high,high
19,IA,2075779.8095112,0.6908985320943815,75119.10205812317,0.036578488449482215,mid,mid,mid
20,KS,2187412.9143037004,0.28768912427784615,32162.173837430502,0.10841496665033544,low,low,high
21,KY,4507578.8250829,0.19009198513239897,97254.43985030589,0.25276689268875524,low,mid,high
22,LA,5814441.4790993,0.7003607340105564,144968.95616772247,0.001341659251408078,mid,high,low
23,ME,1173157.1083049,0.2252101686387443,38277.86709184482,0.14339338480390001,low,low,high
24,MD,3893289.8250864,0.2062617683213014,123965.1878223412,0.036857230423220116,low,mid,mid
25,MA,5600831.845481399,0.7442819581785848,175717.74433565256,0.0017588852229147311,mid,high,low
26,MI,8872803.8980621,0.8101609118298699,253411.77592190038,0.0012199119316984922,high,high,low
27,MN,3513753.4734861604,0.8140033041133501,116091.7146959031,0.0060666238450430105,high,mid,low
28,MS,3742592.4793208996,0.7138941121281612,62353.795442944356,0.10435365070111194,mid,mid,high
29,MO,4919552.628966199,0.8068149053763656,105605.77075628143,0.17735878339441113,high,mid,high
30,MT,911711.3139814,0.7393333503942572,31509.764698006366,0.24223251481644953,mid,low,high
31,NE,561092.2594809,0.5890992163622576,39914.565576309134,0.13234635505685644,low,low,high
32,NV,3274019.8633348,0.68853366714982,80754.06215778289,0.0,mid,mid,low
33,NH,358096.34259600006,0.7993003761103378,15005.656264582567,0.00043553482573067324,high,low,low
34,NJ,7080268.8413333995,0.7447904396060636,163183.98934563922,0.17376396449454048,high,high,high
35,NM,2791367.7044748,0.6739940877406017,64114.17314494038,0.041716567649896556,mid,mid,mid
36,NY,25949314.3971422,0.44341928726818014,526600.8603867379,0.015991782067623975,low,high,mid
37,NC,7689497.2379528005,0.8646699013873916,188938.52768981224,0.09405752153716927,high,high,high
38,ND,437511.57486449997,0.6434117264821076,11219.067971550901,0.003386135151910669,mid,low,low
39,OH,9877838.652697898,0.7179860236508944,295179.50490075967,0.03275600150563672,mid,high,mid
40,OK,3676111.6912164,0.8231412502849701,139714.3247781495,0.006990570822310579,high,mid,mid
41,OR,3798246.5780315,0.24944064526057638,113008.47744852585,0.0031832996766708076,low,mid,low
42,PA,9200504.9472002,0.5446218002855572,282293.17301971343,0.011340129941054917,low,high,mid
44,RI,692506.1800552,0.8451787079941645,17436.18834957694,0.043096818053955495,high,low,mid
45,SC,4204341.1253257,0.28583246128354,28302.46045939944,0.15973873434456268,low,low,high
46,SD,96878.84851839999,0.31468215368419883,7759.935343726114,0.0,low,low,low
47,TN,5187879.057391901,0.7694525144614413,142958.05159722225,0.04799753586801651,high,high,mid
48,TX,18450525.1900631,0.6606382679328995,732584.2704419531,0.0944165246792141,mid,high,high
49,UT,1077720.8796148,0.9285601561131295,33692.9342310041,0.0,high,low,low
50,VT,715501.250458,0.7730052766416592,12370.973980819415,0.0531142195402851,high,low,mid
51,VA,7144943.9792572,0.5465090638723716,187009.2002283746,0.2041155570327877,low,high,high
53,WA,4867311.0446514,0.763805163653163,125488.37003466637,0.0002957940512366596,high,mid,low
54,WV,1798940.3808572998,0.8446012923033096,45487.721432026985,0.030720269471340034,high,mid,mid
55,WI,3670598.09582032,0.6210419322605382,82837.29456700236,0.0,mid,mid,low
56,WY,79090.1580385,0.6127294432669393,5991.784561323992,0.1852915083862043,low,low,high
