year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1996,22601,22601,"1,2,3,4,5",1,5,3.45144020176098,0
1997,34551,34551,"1,2,3,4,5",1,5,3.3992937975746,0
1998,24072,24072,"1,2,3,4,5",1,5,3.49198238617481,0
1999,24618,24618,"1,2,3,4,5",1,5,3.57470143797222,0
2000,25096,25096,"1,2,3,4,5",1,5,3.57861810647115,0
2001,33556,33556,"1,2,3,4,5",1,5,3.55331386339254,0
2002,39165,39165,"1,2,3,4,5",1,5,3.47184986595174,0
2003,34215,34215,"1,2,3,4,5",1,5,3.31766768960982,0
2004,34403,34403,"1,2,3,4,5",1,5,3.3057872859925,0
2005,33961,33961,"1,2,3,4,5",1,5,3.33132122140102,0
2006,34145,34145,"1,2,3,4,5",1,5,3.33548103675502,0
2007,30964,30964,"1,2,3,4,5",1,5,3.40224131249193,0
2008,33066,33066,"1,2,3,4,5",1,5,3.32728482429081,0
2009,36855,36855,"1,2,3,4,5",1,5,3.28530728530729,0
2010,32846,32846,"1,2,3,4,5",1,5,3.29352128113012,0
2011,35313,35313,"1,2,3,4,5",1,5,3.23099141959052,0
2012,38974,38974,"1,2,3,4,5",1,5,3.2264330066198,0
2013,36940,36940,"1,2,3,4,5",1,5,3.19962100703844,0
2014,34875,34875,"1,2,3,4,5",1,5,3.21737634408602,0
2015,35427,35427,"1,2,3,4,5",1,5,3.29426708442713,0
2016,34655,34655,"1,2,3,4,5",1,5,3.33778675515799,0
2017,31880,31880,"1,2,3,4,5",1,5,3.43713927227102,0
