year,n_valid,mean,median,sd,p25,p75,p95,max,zeros_pct
1996,22601,1896.18083270652,338,7589.33389749696,60,1265,7468,427086,17.8708906685545
1997,34551,1957.37214552401,319,6957.01074533092,49,1286,8418,351156,19.7389366443808
1998,24072,2025.2649551346,341,7002.3838901531,50,1373,8487.35,378588,19.5995347291459
1999,24618,2001.37427898286,358,6626.46365247493,58,1461.75,7955.15,206721,19.0226663417012
2000,25096,2060.55881415365,372.5,6683.71452262377,56,1502.25,8859.5,275730,19.7601211348422
2001,33556,2353.98107640958,466,7223.73251432412,82,1890,9793.5,225445,18.1666467993801
2002,39165,2615.8091408145,486,8328.15057046441,78,2053,10792.6,407500,18.7182433295034
2003,34215,2716.93383019144,492,10352.2780800491,74,2133,11486.3,966587,19.3365482975303
2004,34403,2871.41220242421,500,9417.04378604359,68,2342,12265.7,645980,20.0854576635759
2005,33961,3082.96366420306,522,9998.08084786449,72,2431,13130,403440,20.2438090751156
2006,34145,3185.67623370918,556,10033.8577698335,75,2585,13830.4,521209,19.9531410162542
2007,30964,3424.09055677561,577,11111.0374866895,84,2620,14920.4,510393,19.377341428756
2008,33066,3142.06852960745,528.5,9786.61915493782,67,2425,13582,553493,20.7494102703684
2009,36855,3481.03066069733,532,10999.589611275,70,2522,15257,616631,20.6457739791073
2010,32846,3363.51787127809,494,11152.4494202245,52,2355.75,14695.25,727849,21.8961212933082
2011,35313,3391.58870670858,481,16017.7967423354,47,2350,14892,2226997,22.4648146574916
2012,38974,3311.51703699903,430,12249.004881088,29,2161,14590.2,748317,23.5208087442911
2013,36940,3551.76957227937,542,11420.9166373851,70,2490,15791.25,514670,21.1992420140769
2014,34875,3915.5396702509,571,12862.2180534551,78,2675.5,17596.9,491858,20.7168458781362
2015,35427,4171.1326389477,620,14037.5799959848,92,2850,18972.5,700771,19.5782877466339
2016,34655,4325.05044005194,647,13529.6269924443,93,3073,19399.9,580640,20.0057711729909
2017,31880,4994.51163739021,818.5,15310.0194098174,130,3687.5,22432.05,552898,18.2685069008783
2018,30461,6093.89918256131,1179,17531.60438396,213,4903,27040,807611,15.1669347690489
2019,28512,6579.6742774972,1296,18360.3310778369,228,5325.25,29252.4,797307,15.0533108866442
2020,27805,6309.55500809207,1071,21985.8213639777,153,4523,28136.8,1662894,17.583168494875
2021,28336,7710.65249153021,1504.5,27282.7747573853,242,6143,33382.75,2187290,14.7974308300395
2022,22431,7639.47724131782,1605,22993.6741644758,260,6409,33739,1338276,15.1130132406045
2023,18919,8422.05412548232,1816,21664.2504703618,299.5,7087,37686.4,574675,14.0335112849516
