transition,rank,metric,numerator,denominator,rate
2021_to_2022,lowest,previous_top_two_rows,2617,2617,1.0
2021_to_2022,lowest,previous_plan_to_crosswalk,2447,2617,0.9350401222774168
2021_to_2022,lowest,crosswalk_to_current_plan,2447,2617,0.9350401222774168
2021_to_2022,second_lowest,previous_top_two_rows,2617,2617,1.0
2021_to_2022,second_lowest,previous_plan_to_crosswalk,2447,2617,0.9350401222774168
2021_to_2022,second_lowest,crosswalk_to_current_plan,2447,2617,0.9350401222774168
2022_to_2023,lowest,previous_top_two_rows,2449,2449,1.0
2022_to_2023,lowest,previous_plan_to_crosswalk,2449,2449,1.0
2022_to_2023,lowest,crosswalk_to_current_plan,2449,2449,1.0
2022_to_2023,second_lowest,previous_top_two_rows,2449,2449,1.0
2022_to_2023,second_lowest,previous_plan_to_crosswalk,2449,2449,1.0
2022_to_2023,second_lowest,crosswalk_to_current_plan,2449,2449,1.0
2023_to_2024,lowest,previous_top_two_rows,2449,2449,1.0
2023_to_2024,lowest,previous_plan_to_crosswalk,2421,2449,0.9885667619436505
2023_to_2024,lowest,crosswalk_to_current_plan,2288,2449,0.9342588811759902
2023_to_2024,second_lowest,previous_top_two_rows,2449,2449,1.0
2023_to_2024,second_lowest,previous_plan_to_crosswalk,2423,2449,0.9893834218048183
2023_to_2024,second_lowest,crosswalk_to_current_plan,2290,2449,0.9350755410371581
2021_to_2022,all,crosswalk_rows,30722,30722,1.0
2021_to_2022,all,raw_crosswalk_rows_before_default_selection,30722,30722,1.0
2021_to_2022,all,duplicate_crosswalk_keys_before_default_selection,0,30722,0.0
2021_to_2022,all,duplicate_crosswalk_candidate_rows_before_default_selection,0,30722,0.0
2021_to_2022,all,mapped_rows,30722,30722,1.0
2021_to_2022,all,across_issuer_rows,1170,30722,0.03808345810819608
2022_to_2023,all,crosswalk_rows,43504,43504,1.0
2022_to_2023,all,raw_crosswalk_rows_before_default_selection,43514,43514,1.0
2022_to_2023,all,duplicate_crosswalk_keys_before_default_selection,1,43514,2.298110952796801e-05
2022_to_2023,all,duplicate_crosswalk_candidate_rows_before_default_selection,11,43514,0.0002527922048076481
2022_to_2023,all,mapped_rows,43504,43504,1.0
2022_to_2023,all,across_issuer_rows,2595,43504,0.05964968738506804
2023_to_2024,all,crosswalk_rows,47423,47423,1.0
2023_to_2024,all,raw_crosswalk_rows_before_default_selection,47555,47555,1.0
2023_to_2024,all,duplicate_crosswalk_keys_before_default_selection,11,47555,0.000231311113447587
2023_to_2024,all,duplicate_crosswalk_candidate_rows_before_default_selection,143,47555,0.003007044474818631
2023_to_2024,all,mapped_rows,45805,47423,0.9658815342766168
2023_to_2024,all,across_issuer_rows,2699,47423,0.05691331210594015
