selection_variant,exposure_universe,county_years_where_lowest_plan_differs_from_current_repo,county_years_where_second_lowest_plan_differs_from_current_repo,county_years_where_either_top_two_plan_differs,states_years_with_most_differences,number_of_differences_involving_ties,number_of_differences_involving_standard_component_collapse,number_of_differences_involving_rating_area_county_issues,number_of_differences_involving_child_only_limited_plans,number_of_differences_involving_missing_or_anomalous_premiums,notes
all_tied_lowest_or_second_lowest,exactly_two_plans,0,0,0,,0,0,0,0,0,
all_tied_lowest_or_second_lowest,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,0,0,
county_rating_area_specific_top_two,exactly_two_plans,0,0,0,,0,0,0,0,0,
county_rating_area_specific_top_two,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,134,0,0,
current_repo_top_two,exactly_two_plans,0,0,0,,0,0,0,0,0,
current_repo_top_two,include_ties_at_second_lowest,0,0,0,,0,0,0,0,0,
exclude_child_only_or_limited_plans,exactly_two_plans,0,0,0,,0,0,0,0,0,child_or_limited_flags_not_available_in_cached_panel
exclude_child_only_or_limited_plans,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,134,0,child_or_limited_flags_not_available_in_cached_panel
rank_by_displayed_qhp_order_if_available,exactly_two_plans,6824,6492,7114,2023-TX:222; 2022-TX:222; 2021-TX:217; 2022-GA:159; 2021-GA:151; 2021-VA:133; 2022-VA:133; 2023-VA:133; 2023-GA:132; 2021-KY:120,0,0,0,0,0,no_official_display_rank_field_used_cached_source_order
rank_by_displayed_qhp_order_if_available,include_ties_at_second_lowest,6824,6492,7114,2023-TX:222; 2022-TX:222; 2021-TX:217; 2022-GA:159; 2021-GA:151; 2021-VA:133; 2022-VA:133; 2023-VA:133; 2023-GA:132; 2021-KY:120,0,0,0,0,0,no_official_display_rank_field_used_cached_source_order
rank_by_ehb_adjusted_gross_premium,exactly_two_plans,663,1619,1619,2021-TX:114; 2022-GA:92; 2021-IN:92; 2021-KS:85; 2023-TN:81; 2021-KY:76; 2023-MS:64; 2021-OH:62; 2022-MS:58; 2022-IN:57,0,0,0,0,0,
rank_by_ehb_adjusted_gross_premium,include_ties_at_second_lowest,765,1732,1732,2021-TX:114; 2021-IN:92; 2022-GA:92; 2021-KS:85; 2022-KS:84; 2023-TN:81; 2021-KY:76; 2023-MS:64; 2021-OH:62; 2022-MS:58,132,0,0,0,0,
rank_by_gross_age40_premium_planid,exactly_two_plans,0,0,0,,0,0,0,0,0,
rank_by_gross_age40_premium_planid,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,0,0,
rank_by_gross_age40_standard_component,exactly_two_plans,0,0,0,,0,0,0,0,0,
rank_by_gross_age40_standard_component,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,134,0,0,0,
rank_by_postsubsidy_net_premium,exactly_two_plans,3702,3702,3702,2022-TX:183; 2021-TX:160; 2023-GA:113; 2023-MO:113; 2021-GA:108; 2021-KS:103; 2023-KS:91; 2023-TX:84; 2023-VA:82; 2021-MS:82,3539,0,0,0,0,
rank_by_postsubsidy_net_premium,include_ties_at_second_lowest,6470,6180,6476,2023-TX:254; 2021-TX:253; 2022-TX:244; 2023-GA:159; 2022-GA:153; 2021-GA:147; 2021-VA:133; 2023-VA:129; 2022-VA:117; 2022-MO:115,6313,0,0,0,0,
rank_by_rate_puf_premium,exactly_two_plans,0,0,0,,0,0,0,0,0,
rank_by_rate_puf_premium,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,0,0,
service_area_strict_top_two,exactly_two_plans,0,0,0,,0,0,0,0,0,qhp_county_rows_used_as_service_area_availability
service_area_strict_top_two,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,0,0,qhp_county_rows_used_as_service_area_availability
tie_break_source_order,exactly_two_plans,0,0,0,,0,0,0,0,0,
tie_break_source_order,include_ties_at_second_lowest,121,134,134,2022-KS:84; 2023-AL:21; 2022-NE:16; 2023-OR:6; 2023-TX:5; 2021-LA:2,134,0,0,0,0,
